JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460799.500000000, A.D. 2025-May-04 00:00:00.0000, -2.388150604368773E+08,  7.018379751834978E+07,  7.327142965238649E+06, -5.925614303779406E+00, -2.117566425975072E+01, -2.984585637987598E-01,
2460800.500000000, A.D. 2025-May-05 00:00:00.0000, -2.393193664321074E+08,  6.835198830305678E+07,  7.301121355882302E+06, -5.748063883837547E+00, -2.122710286073889E+01, -3.038905603250308E-01,
2460801.500000000, A.D. 2025-May-06 00:00:00.0000, -2.398083135980930E+08,  6.651579290785038E+07,  7.274631188219871E+06, -5.570087132895885E+00, -2.127719567177961E+01, -3.093048007874311E-01,
2460802.500000000, A.D. 2025-May-07 00:00:00.0000, -2.402818654442408E+08,  6.467532774619108E+07,  7.247674007506918E+06, -5.391692047686333E+00, -2.132593947590409E+01, -3.147010148122344E-01,
2460803.500000000, A.D. 2025-May-08 00:00:00.0000, -2.407399861706063E+08,  6.283070950913765E+07,  7.220251381808173E+06, -5.212886630944431E+00, -2.137333108526072E+01, -3.200789387248806E-01,
2460804.500000000, A.D. 2025-May-09 00:00:00.0000, -2.411826406693606E+08,  6.098205516456506E+07,  7.192364901980396E+06, -5.033678891962769E+00, -2.141936732512221E+01, -3.254383152920068E-01,
2460805.500000000, A.D. 2025-May-10 00:00:00.0000, -2.416097945262225E+08,  5.912948195630917E+07,  7.164016181609135E+06, -4.854076854674183E+00, -2.146404501044246E+01, -3.307788885626781E-01,
2460806.500000000, A.D. 2025-May-11 00:00:00.0000, -2.420214140220899E+08,  5.727310740320827E+07,  7.135206857006475E+06, -4.674088566554920E+00, -2.150736094394248E+01, -3.361003989386360E-01,
2460807.500000000, A.D. 2025-May-12 00:00:00.0000, -2.424174661349149E+08,  5.541304929817878E+07,  7.105938587299548E+06, -4.493722102849448E+00, -2.154931193539828E+01, -3.414025821245099E-01,
2460808.500000000, A.D. 2025-May-13 00:00:00.0000, -2.427979185416153E+08,  5.354942570741109E+07,  7.076213054522790E+06, -4.312985570161031E+00, -2.158989481830690E+01, -3.466851688851822E-01,
2460809.500000000, A.D. 2025-May-14 00:00:00.0000, -2.431627396198679E+08,  5.168235496955433E+07,  7.046031963633850E+06, -4.131887106877775E+00, -2.162910645244122E+01, -3.519478856130815E-01,
2460810.500000000, A.D. 2025-May-15 00:00:00.0000, -2.435118984498665E+08,  4.981195569472712E+07,  7.015397042477157E+06, -3.950434871845865E+00, -2.166694371737773E+01, -3.571904598486091E-01,
2460811.500000000, A.D. 2025-May-16 00:00:00.0000, -2.438453648162151E+08,  4.793834676343402E+07,  6.984310041775752E+06, -3.768637027613402E+00, -2.170340350302666E+01, -3.624126282398761E-01,
2460812.500000000, A.D. 2025-May-17 00:00:00.0000, -2.441631092099746E+08,  4.606164732563321E+07,  6.952772735177847E+06, -3.586501740636880E+00, -2.173848270022848E+01, -3.676141363213192E-01,
2460813.500000000, A.D. 2025-May-18 00:00:00.0000, -2.444651028307313E+08,  4.418197680001196E+07,  6.920786919307958E+06, -3.404037202865067E+00, -2.177217819813175E+01, -3.727947280886097E-01,
